"cluster_id","cluster_label","cluster_color","subclass_id","subclass_label","subclass_color","class_id","class_label","class_color"
1,"L2/3 IT VISp Rrad","#D9F077",7,"L2/3 IT","#94D9A1",2,"Glutamatergic","#27AAE1"
2,"L2/3 IT VISp Adamts2","#A6E6A9",7,"L2/3 IT","#94D9A1",2,"Glutamatergic","#27AAE1"
3,"L2/3 IT VISp Agmat","#7AE6AB",7,"L2/3 IT","#94D9A1",2,"Glutamatergic","#27AAE1"
4,"L4 IT VISp Rspo1","#00979D",8,"L4","#00979D",2,"Glutamatergic","#27AAE1"
5,"L5 IT VISp Hsd11b1 Endou","#00DDC5",9,"L5 IT","#008A61",2,"Glutamatergic","#27AAE1"
6,"L5 IT VISp Whrn Tox2","#26FFF2",9,"L5 IT","#008A61",2,"Glutamatergic","#27AAE1"
7,"L5 IT VISp Batf3","#00A809",9,"L5 IT","#008A61",2,"Glutamatergic","#27AAE1"
8,"L5 IT VISp Col6a1 Fezf2","#00FF00",9,"L5 IT","#008A61",2,"Glutamatergic","#27AAE1"
9,"L5 IT VISp Col27a1","#26BF64",9,"L5 IT","#008A61",2,"Glutamatergic","#27AAE1"
10,"L6 IT VISp Penk Col27a1","#A19922",10,"L6 IT","#A19922",2,"Glutamatergic","#27AAE1"
11,"L6 IT VISp Penk Fst","#7F9922",10,"L6 IT","#A19922",2,"Glutamatergic","#27AAE1"
12,"L6 IT VISp Col23a1 Adamts2","#C2E32C",10,"L6 IT","#A19922",2,"Glutamatergic","#27AAE1"
13,"L6 IT VISp Col18a1","#96E32C",10,"L6 IT","#A19922",2,"Glutamatergic","#27AAE1"
14,"L6 IT VISp Car3","#5100FF",10,"L6 IT","#A19922",2,"Glutamatergic","#27AAE1"
15,"L5 PT VISp Chrna6","#0000FF",11,"L5 PT","#0D5B78",2,"Glutamatergic","#27AAE1"
16,"L5 PT VISp Lgr5","#22737F",11,"L5 PT","#0D5B78",2,"Glutamatergic","#27AAE1"
17,"L5 PT VISp C1ql2 Ptgfr","#247740",11,"L5 PT","#0D5B78",2,"Glutamatergic","#27AAE1"
18,"L5 PT VISp C1ql2 Cdh13","#00A863",11,"L5 PT","#0D5B78",2,"Glutamatergic","#27AAE1"
19,"L5 PT VISp Krt80","#29E043",11,"L5 PT","#0D5B78",2,"Glutamatergic","#27AAE1"
20,"L5 NP VISp Trhr Cpne7","#008F39",12,"NP","#3E9E64",2,"Glutamatergic","#27AAE1"
