cell_name,cell_specimen_name,blowout_mv_qc,electrode_0_pa_qc,recording_date_qc,seal_gohm_qc,input_resistance_mohm_qc,initial_access_resistance_mohm_qc,input_access_resistance_ratio_qc,fail_tags_qc,failed_blowout,failed_electrode_0,failed_seal,failed_input_access_resistance,failed_qc,failed_fx_long_squares,failed_fx_short_squares,failed_fx_ramps,failed_fx_chirps,failed_fx_sweep_features,upstroke_downstroke_ratio_ramp,threshold_v_ramp,width_ramp,upstroke_ramp,downstroke_ramp,width_suprathresh_ramp,trough_v_ramp,threshold_i_ramp,postap_slope_ramp,fast_trough_deltav_ramp,peak_deltav_ramp,upstroke_downstroke_ratio_short_square,threshold_v_short_square,width_short_square,upstroke_short_square,downstroke_short_square,width_suprathresh_short_square,peak_deltav_short_square,peak_ratio_chirp,peak_freq_chirp,3db_freq_chirp,peak_impedance_chirp,low_freq_impedance_chirp,sync_freq_chirp,phase_peak_chirp,phase_low_chirp,total_inductive_phase_chirp,sag,sag_area,sag_tau,v_baseline,rheobase_i,fi_fit_slope,vm_for_sag,input_resistance,input_resistance_ss,tau,latency_rheo,avg_rate_rheo,mean_isi_rheo,upstroke_downstroke_ratio_rheo,threshold_v_rheo,peak_v_rheo,width_rheo,upstroke_rheo,downstroke_rheo,width_suprathresh_rheo,trough_v_rheo,fast_trough_v_rheo,postap_slope_rheo,fast_trough_v_last_rheo,adp_v_last_rheo,adapt_hero,avg_rate_hero,latency_hero,mean_isi_hero,median_isi_hero,isi_cv_hero,ir_late_hero,upstroke_downstroke_ratio_hero,threshold_v_hero,peak_v_hero,width_hero,upstroke_hero,downstroke_hero,width_suprathresh_hero,trough_v_hero,fast_trough_v_hero,postap_slope_hero,ahp_delay_ratio_hero,sag_depol,sag_area_depol,sag_tau_depol,adapt_mean,isi_cv_mean,ir_late_mean,avg_rate_max,isi_adapt_ratio,width_adapt_ratio,upstroke_adapt_ratio,downstroke_adapt_ratio,threshold_v_adapt_ratio,peak_v_adapt_ratio,ahp_delay_ratio_5spike,trough_slowdeltav_rheo,trough_slowdeltav_hero,fast_trough_deltav_rheo,fast_trough_deltav_hero,peak_deltav_rheo,peak_deltav_hero,first_isi_inv_rheo,first_isi_inv_hero
1005054543,H20.03.303.11.04.01.04,,0.476875037,43865.99653,1.575262848,246.342224,18.19103,0.073844547,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.325837541,-33.54374949,0.000866667,338.6109584,-101.8120761,0.000746667,-54.12916946,57.125,-0.469706903,-16.0229187,81.19583639,3.314463854,-37.80625153,0.00074,372.9441391,-112.520201,0.00068,84.60625458,1.059941649,1.750521655,6.701997195,0.296972185,0.280177861,0.550163949,-0.180593804,0.028955827,0.000883778,0.17383799,0.765639063,0.160439961,-63.7148056,46,0.238468428,-88.10625458,200.2187669,173.3327817,0.019090414,0.191,1,,3.402328391,-34.03125381,46.26250458,0.00088,334.4813148,-98.30953288,0.00076,-56.42500305,-48.93124771,-0.3877026,-48.93124771,,0.051182678,13,0.02848,0.077576667,0.08369,0.209064568,0.058873539,3.328252415,-36.96875381,46.03125,0.0008,356.9518587,-107.2490347,0.00072,-48.53749847,-48.41875458,0.627498488,0.142431973,0.287427962,0.742512422,0.042836996,0.042033925,0.175994109,0.069077775,17,1.423728814,1.125,0.894614755,0.870381038,0.960743822,0.993424758,0.172193136,-7.493755341,-0.118743896,-14.8999939,-11.45000076,80.29375839,83.00000381,,34.38789546
592544683,H17.03.007.12.07.05,,11.27250004,42886.79444,1.942445568,106.1878,11.337433,0.106767755,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,3.064084877,-49.15625381,0.00108,257.6752147,-84.09532536,0.00098,-61.84375381,82,-0.227303843,-12.3125,70.03125572,2.875171635,-48.50000381,0.00102,251.1070849,-87.33636588,0.00091,63.50000477,,,,,,,,,,0.12346784,0.707383359,1.243244128,-74.15874481,59.99999619,0.116977829,-92.71875763,137.7603561,124.949994,0.033073737,0.15186,1,,4.109363605,-53.78125381,32.125,0.00092,388.622533,-94.57000409,0.00082,-67.06250763,-66.90625,0.560131505,-66.90625,-61.56250381,0.187310772,8,0.05318,0.117297143,0.1535,0.526191429,0.023661112,4.348785982,-51.75000381,35.25,0.0009,417.8078013,-96.07458337,0.0008,-63.8125,-63.56250381,1.166960429,0.018443144,0.302182078,1.607843281,0.083745241,0.297764309,0.584266175,0.057555147,18,66.21559633,1.25,0.919612578,0.802837025,0.940143136,1.066187045,0.212192587,-0.156257629,-0.249996185,-13.12499619,-11.8125,85.90625381,87.00000381,,82.3723229
1322700303,H24.26.401.11.53.01.01,,-0.0025,45300.77292,4.002733312,694.643392,19.979694,0.028762519,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,,,,,,,,,2.097470208,-39.79687881,0.00057,353.1233073,-168.3750479,0.00049,79.32813263,,,,,,,,,,0.084396139,1.365154063,1.048359535,-59.88163376,10,0.866666667,-100.71875,346.1973071,333.9301168,0.029921303,0.18658,4,0.215406667,2.183900057,-36.625,39.71875,0.00062,331.3714903,-151.7338164,0.00052,-53.96875381,-53.50000381,0.297947057,-52.65625381,-51.62500381,0.01753762,12,0.06284,0.080405455,0.08438,0.106799885,0.065073948,2.13145872,-37.78125381,39.68750381,0.0006,337.2368924,-158.2188241,0.00052,-53.78125381,-53.46875381,-1.055975775,0.022427441,0.075099111,0,,0.024474978,0.09746624,0.09196647,12,1.316890415,1.2,0.769584561,0.813725795,0.918114051,0.899999913,0.022427441,-0.46875,-0.3125,-16.87500381,-15.6875,76.34375,77.46875763,4.906289864,15.625
786497332,H18.03.322.11.03.01.08,,-27.98562431,43432.30139,2.719132928,89.662008,6.507274,0.0725756,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.085399176,-32.61458588,0.00088,308.6326045,-100.0317809,0.000806667,-43.95833333,138.0416667,0.524959583,-9.00833257,88.95625687,3.051002832,-38.53749847,0.00084,305.2588735,-100.0519797,0.0008,90.83124924,1.016307592,1.200357707,6.952071717,0.138920084,0.136690989,0.400119236,-0.132556409,-0.028135575,0,0.019037856,0,,-65.02111816,150,0.196551724,-75.91874695,99.187769,97.62576783,0.016219073,0.12026,1,,3.236018061,-34.67500305,51.6875,0.0009,297.9375728,-92.06919341,0.00084,-44.39375305,-43.11250305,0.567144163,-43.11250305,-40.62500381,0.084778129,9,0.05076,0.1075575,0.11591,0.265871277,0.106233144,3.204850362,-34.94375229,52.55625153,0.00088,302.8318248,-94.49172056,0.00082,-42.94374847,-42.85625458,0.409427874,0.260347746,0.090103582,0.37569082,0.126320714,0.080360315,0.25141554,0.086821287,12,2.070993489,1.069767442,0.915624116,0.943413135,0.956071363,0.960554152,0.220217698,-1.28125,-0.087493896,-8.4375,-7.912502289,86.36250305,87.50000381,,27.3822563
653038258,H17.26.005.11.07.04,,-54.16249847,43081.99236,1.797767296,70.321416,6.3663905,0.09053274,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.098607473,-30.06250191,0.00084,301.3756187,-97.26163167,0.00076,-48.21875381,363.625,-0.358561573,-14.31250191,74.71875191,3.066485727,-40.1458346,0.00072,373.2059715,-121.7048089,0.000666667,85.60417048,1.17934072,3.200652933,10.70218325,0.059263676,0.050251529,1.100224446,-0.209696397,0.049448401,0.002760334,0.270555377,0,,-68.61076355,249.9999847,0.049999987,-75.37500763,61.87511235,43.98521308,0.01356804,0.07998,1,,3.173476839,-37.34375,45.71875,0.00078,362.6871273,-114.2869936,0.0007,-52.03125381,-49.4375,1.290849534,-49.4375,-46.34375,,1,0.05582,,,,,3.225079102,-37.09375,45.65625381,0.00076,365.7264538,-113.4007701,0.0007,-47.87500381,-47.71875381,0.53390951,,0.275155932,0.916385156,0.045139193,0.303822055,0.513167752,,5,8.413974951,1.105263158,0.90261577,0.889794061,0.894206457,0.994459834,0.118771545,-2.593753815,-0.15625,-12.09375,-10.62500381,83.0625,82.75000381,,
1003355413,H20.03.302.11.54.01.10,,,43859,2.629081856,217.71488,8.1870335,0.037604382,electrode_0_pa missing value,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.986374396,-20.4708341,0.000906667,81.05546306,-81.74983079,0.000646667,-49.79375076,197.4166667,0.154375248,-29.08958562,31.71250089,2.22627366,-37.77499771,0.00052,399.9816159,-179.664173,0.00044,72.70000076,1.17244494,3.451028406,11.35338331,0.275289446,0.234799474,1.500447133,-0.191018984,0.061137915,0.00171262,0.25678739,0.948301484,0.09361896,-64.77371979,110,0.032873276,-88.12500763,192.8436607,137.2827491,0.012502564,0.0265,1,,2.152109295,-28.72500229,35.28749847,0.00054,370.8651555,-172.3263574,0.00042,-56.01250458,-55.54375458,-0.522527549,-55.54375458,,,2,0.01536,0.02806,0.02806,0,,2.23831392,-32.29999924,34.24374771,0.00052,380.13018,-169.8288058,0.00044,-55.73125076,-55.35625458,0.310321485,0.064148254,0.173927024,0.917314375,0.189359164,0.06252913,0.175994453,,14,1.509966777,1.2,0.674965376,0.807977411,0.723014946,0.817505706,0.100766703,-0.46875,-0.374996185,-26.81875229,-23.05625534,64.01250076,66.54374695,,35.63791875
1139383136,H21.06.359.11.51.01.01,,0.954375029,44508.71389,0.971466048,384.25472,18.42395,0.047947231,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,1.000615001,0.400119236,5.551654393,0.413009167,0.412755311,0.400119236,-0.095846683,-0.095846683,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1005045870,H20.03.303.11.04.01.03,,9.59375,43865.98056,1.34308288,245.446704,9.258703,0.037721847,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3.931659297,-40.33958689,0.0012,276.4009096,-70.30700158,0.001093333,-56.90416845,49.625,-0.522114414,-12.06874593,78.86875661,3.721315689,-42.45624924,0.00108,289.8551515,-77.89050317,0.00102,77.71875381,1.105962753,1.550462038,5.85174382,0.255162984,0.230715722,0.700208662,-0.133395493,0.04597858,0.001221717,0.185912728,0.963402734,0.11098424,-64.93596649,38,0.202975682,-88.0625,194.2188591,154.4682271,0.027608393,0.19828,1,,4.151223335,-40.71875381,38.34375381,0.0012,282.323727,-68.00976584,0.0011,-57.51250458,-52.59999847,-0.759799665,-52.59999847,-52.55625153,0.043623641,11,0.03486,0.086774,0.09197,0.196434261,0.012888108,4.05144988,-41.56874847,37.94375229,0.00114,292.9240946,-72.30105352,0.00104,-52.35625458,-52.05624771,-0.411061836,0.222529098,0.339737743,1.495281406,0.211838536,0.046965723,0.202364524,0.030627333,15,2.121107266,1.107142857,0.953243466,0.976066607,0.981531923,1.034253105,0.249113852,-4.912506104,-0.300006866,-11.88124466,-10.48749924,79.06250763,79.51250076,,21.75805048
805732962,H19.03.301.11.11.01.01,,27.77812576,43474.1,3.642184704,784.033216,9.332313,0.011902956,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2.917547471,-53.56041845,0.000873333,312.5815794,-107.2497998,0.00078,-66.1479187,12.875,-0.870580019,-12.0875028,87.40208435,2.760937123,-54.50624847,0.0008,305.8802757,-110.78857,0.00072,85.40625,,,,,,,,,,0.272391945,2.106219531,0.097199174,-59.94504929,10,0.703079706,-100.5625076,451.0791302,286.2298707,0.018449743,0.61996,1,,3.126453969,-53.71875381,33.87500381,0.00092,304.8065443,-97.49273374,0.00084,-65.58750916,-64.86249542,-0.373360354,-64.86249542,,0.010319587,39,0.00838,0.025617368,0.02651,0.144195868,0.079375848,2.395083616,-40.41250229,34.90625381,0.00076,270.4252634,-112.9084854,0.00068,-51.01875305,-50.83124924,-0.053611358,0.120320856,0.266783386,0.777684219,,0.029230782,0.175449736,0.139685154,53,1.48912561,1.175,0.773293758,0.822229136,0.916734042,0.952931262,0.031527719,-0.725013733,-0.187503815,-11.14374161,-10.41874695,87.59375763,75.3187561,,71.73601148
880971101,H19.03.313.11.05.01.03,,26.93187523,43621.16597,2.349373696,335.374784,14.403064,0.042946175,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2.534689147,-41.91874822,0.000813333,295.1085775,-116.4363033,0.00076,-53.41250229,46.79166667,0.751316141,-8.481254578,82.37083308,2.439044194,-45.54375076,0.0007,308.0112683,-126.2835947,0.00068,82.78125381,,,,,,,,,,0.056947626,0,,-77.34298706,36,0.263210927,-100.6375046,244.0938056,228.7959992,0.024392965,0.17368,1,,2.488600122,-40.39374924,38.60625076,0.00076,300.5430426,-120.7679129,0.0007,-57.39999771,-50.32500076,2.161888264,-50.32500076,-43.79999924,0.069804331,15,0.0333,0.065318571,0.07397,0.391622919,0.081912145,2.517410904,-42.23125458,37.45625305,0.00072,308.6542419,-122.6078116,0.00066,-49.00000381,-49.00000381,5.03660698,0.025241676,0.268178493,1.2245525,0.064321464,0.086014925,0.33201298,0.133573649,19,19.47260274,1.138888889,0.912190719,0.940086149,1.003816211,1.044214476,0.303428454,-7.074996948,0,-9.931251526,-6.768749237,79,79.68750763,,223.2142857
