,cell,tot_70,fast_70,fast_total,nonfast_70,nonfast_total,jem-version_jem_form,jem-date_patch,jem-time_patch,jem-date_patch_y-m-d,jem-date_patch_y,jem-date_patch_m,jem-date_patch_d,jem-date_acsf,jem-date_blank,jem-date_internal,jem-status_misinformation,jem-id_species,jem-id_slice_specimen,jem-id_cell_specimen,jem-status_patch_tube,jem-id_patched_cell_container,jem-id_rig_user,jem-id_rig_number,jem-status_attempt,jem-cell_attached_status,jem-cell_attached_status_failure,jem-break_in_status,jem-break_in_status_failure,jem-status_success_failure,jem-status_reporter,jem-cell_virus_enhancer,jem-roi_super,jem-roi_major_minor,jem-roi_major,jem-roi_minor,jem-cell_health,jem-health_fill_quality,jem-nucleus_post_patch,jem-nucleus_sucked,jem-res_final_seal,jem-depth,jem-in_bath_resistance,jem-in_bath_clog,jem-cell_attached_dimple,jem-break_in_pressure_max,jem-break_in_zap_max,jem-break_in_zap_use,jem-break_in_reseal,jem-pressure_extraction,jem-pressure_retraction,jem-time_duration_experiment,jem-time_duration_extraction,jem-time_duration_retraction,jem-in_bath_time_start,jem-seal_time_start,jem-cell_attached_time_start,jem-break_in_time_start,jem-break_in_time_end,jem-time_exp_extraction_start,jem-time_exp_extraction_end,jem-time_exp_retraction_end,jem-time_exp_channel_end,jem-virus_enhancer,jem-dic,jem-slice_level_project,jem-project_level_nucleus,jem-project_name,jem-project_icv_injection_fluorescent_roi,jem-project_retrograde_labeling_hemisphere,jem-project_retrograde_labeling_region,jem-project_retrograde_labeling_exp,jem-notes_overall,jem-notes_qc,jem-notes_extraction,jem-notes_failure,jem-time_slice_eval,jem-slice_health,jem-slice_observations,jem-slice_quality_comments,lims-id_species,lims-id_project_code,lims-id_slice_specimen,lims-id_cell_specimen,lims-id_patched_cell_container,lims-cell_reporter,lims-structure,lims-histology_well_name,lims-id_cell_specimen_id,lims-id_slice_genotype,lims-depth,test-jem_lims_specimen_id_congruency,tree_subclass,tree_cluster,tree_class,marker_sum_norm_label,Norm_Marker_Sum.0.4_label,patched_cell_container,cell_name,rna_amplification_pass_fail,Genes.Detected.CPM
0,H23.03.303.15.72.01.07,10.2077930361405,,,,,2.1.5,03/06/2023,10:07:17,2023-03-06,2023.0,3.0,6.0,03/06/2023,12/06/2022,12/09/2022,No,Human,H23.03.303.15.72.01,H23.03.303.15.72.01.07,Patch Tube,PCS4_230306_156_A01,kamiliamn,3,9.0,Success,,Success,,SUCCESS,Positive,,Cortical,OCx_L5,OCx,L5,3.0,2.0,nucleus_present,no,3000.0,54.2,4.8,No,No,12.0,25us,Multiple,No,40.0,50.0,11.68,4.73,7.78,15:08:58,,15:10:13,15:11:20,15:12:09,15:23:50,15:28:34,15:36:21,15:43:24,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.03.303,H23.03.303.15.72.01.07,PCS4_230306_156_A01,positive,LiG,EPhys_230306_02_B01_H,H23.03.303,,54.2,Matching JEM & LIMS Information,Sst,Inh L4-6 SST B3GAT2,GABAergic,0.7807862034034767,True,PCS4_230306_156_A01,H23.03.303.15.72.01.07,Pass,13944.0
1,H19.03.323.11.04.01.06,8.070572252981716,,,,,2.0.8,12/03/2019,13:17:24,2019-12-03,2019.0,12.0,3.0,12/02/2019,10/17/2019,10/28/2019,No,Human,H19.03.323.11.04.01,H19.03.323.11.04.01.06,Patch Tube,P8S4_191203_358_A01,lindsayn,5,6.0,,,,,SUCCESS,Negative,,Cortical,TCx_L2,TCx,L2,4.0,,nucleus_present,,2000.0,39.0,4.0,,,,,,,45.0,45.0,8.18,1.92,2.12,17:00:06,,,,17:01:32,17:09:43,17:11:38,17:13:45,17:17:10,None,,,Channel_Recording,None,None,None,None,None,,,"#comp WC 14.46 corr 80
100kH
starts at 65",,,,,,Homo Sapiens,hIVSCC-MET,H19.03.323,H19.03.323.11.04.01.06,P8S4_191203_358_A01,negative,MTG,EPhys_191202_02_A03_H,H19.03.323,,39.3,Matching JEM & LIMS Information,Sncg,Inh L1-2 VIP TSPAN12,GABAergic,1.344556329844774,True,P8S4_191203_358_A01,H19.03.323.11.04.01.06,Pass,11843.0
2,H22.26.436.11.60.01.05,5.850365690473157,,,,,2.1.4,10/25/2022,09:25:51,2022-10-25,2022.0,10.0,25.0,10/24/2022,08/22/2022,09/09/2022,No,Human,H22.26.436.11.60.01,H22.26.436.11.60.01.05,Patch Tube,PCS4_221025_154_A01,kamiliamn,3,7.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L5,TCx,L5,,3.0,nucleus_present,no,2000.0,120.9,5.1,No,No,20.0,Not Applicable,Not Applicable,No,60.0,80.0,13.72,10.15,7.87,12:58:40,,12:59:45,13:00:56,13:01:13,13:14:56,13:25:05,13:32:57,13:37:49,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.436,H22.26.436.11.60.01.05,PCS4_221025_154_A01,positive,,EPhys_221024_01_B02_H,H22.26.436,,120.9,Matching JEM & LIMS Information,Sst,Inh L4-6 SST B3GAT2,GABAergic,0.381342043540804,False,PCS4_221025_154_A01,H22.26.436.11.60.01.05,Pass,13735.0
3,H23.03.302.11.05.01.06,1.537444496271452,,,,,2.1.5,02/07/2023,12:57:52,2023-02-07,2023.0,2.0,7.0,02/06/2023,11/08/2022,12/09/2022,No,Human,H23.03.302.11.05.01,H23.03.302.11.05.01.06,Patch Tube,P4S4_230207_155_A01,kamiliamn,3,8.0,Success,,Success,,SUCCESS,,,Cortical,TCx_L5,TCx,L5,3.0,2.0,nucleus_present,no,1000.0,122.4,5.2,No,No,0.0,Not Applicable,Not Applicable,No,71.0,120.0,10.55,8.3,3.73,17:26:54,,17:29:35,17:30:58,17:30:58,17:41:31,17:49:49,17:53:33,18:02:36,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-MET,H23.03.302,H23.03.302.11.05.01.06,P4S4_230207_155_A01,not applicable,STG,EPhys_230206_04_A03_H,H23.03.302,,122.4,Matching JEM & LIMS Information,L6_CT,Exc L5-6 FEZF2 ABO,Glutamatergic,0.8338235581354085,True,P4S4_230207_155_A01,H23.03.302.11.05.01.06,Pass,10555.0
4,H23.06.351.11.54.01.03,3.70156364682119,,,,,2.1.5,04/05/2023,13:50:45,2023-04-05,2023.0,4.0,5.0,04/05/2023,02/24/2023,03/06/2023,No,Human,H23.06.351.11.54.01,H23.06.351.11.54.01.03,Patch Tube,PCS4_230405_158_A01,kamiliamn,3,3.0,Success,,Success,,SUCCESS,,,Cortical,FCx_L5,FCx,L5,3.0,3.0,nucleus_present,no,1000.0,71.6,4.5,Yes,No,50.0,Not Applicable,Not Applicable,No,50.0,90.0,9.07,9.93,4.77,15:47:18,,15:48:27,15:49:33,15:50:11,15:59:15,16:09:11,16:13:57,16:20:41,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H23.06.351,H23.06.351.11.54.01.03,PCS4_230405_158_A01,not applicable,STG,EPhys_230403_03_B02_H,H23.06.351,,71.6,Matching JEM & LIMS Information,L5_IT,Exc L4-5 RORB FOLH1B,Glutamatergic,0.4835628130184282,True,PCS4_230405_158_A01,H23.06.351.11.54.01.03,Pass,8018.0
5,H22.26.433.11.54.01.01,3.112426666338638,,,,,2.1.4,10/06/2022,11:22:13,2022-10-06,2022.0,10.0,6.0,10/05/2022,08/22/2022,09/09/2022,No,Human,H22.26.433.11.54.01,H22.26.433.11.54.01.01,Patch Tube,PCS4_221006_151_A01,kamiliamn,4,1.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L5,FCx,L5,,3.0,nucleus_present,intentionally-surface,3000.0,83.3,4.3,No,No,60.0,Not Applicable,Not Applicable,No,61.0,80.0,11.47,4.33,6.93,11:49:00,,11:49:53,11:51:09,11:51:37,12:03:05,12:07:25,12:14:21,12:20:44,CN1633,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.433,H22.26.433.11.54.01.01,PCS4_221006_151_A01,positive,MFG,EPhys_221010_03_A02_H,,,83.3,Matching JEM & LIMS Information,L6_CT,Exc L5-6 FEZF2 ABO,Glutamatergic,0.8140461398077208,True,PCS4_221006_151_A01,H22.26.433.11.54.01.01,Pass,13842.0
6,H22.26.434.11.63.01.03,6.982283040026521,,,,,2.1.4,10/07/2022,09:52:11,2022-10-07,2022.0,10.0,7.0,10/06/2022,08/22/2022,09/09/2022,No,Human,H22.26.434.11.63.01,H22.26.434.11.63.01.03,Patch Tube,PCS4_221007_153_A01,kamiliamn,4,5.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L5,FCx,L5,,3.0,nucleus_present,no,2000.0,86.2,4.8,No,Yes,60.0,Not Applicable,Not Applicable,No,62.0,83.0,15.78,5.28,5.97,11:43:04,,11:43:49,11:45:00,11:45:22,12:01:09,12:06:26,12:12:24,12:17:52,CN1390,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.434,H22.26.434.11.63.01.03,PCS4_221007_153_A01,positive,MFG,EPhys_221010_03_A03_H,H22.26.434,,86.2,Matching JEM & LIMS Information,Sst,Inh L4-6 SST GXYLT2,GABAergic,0.5288954238684123,True,PCS4_221007_153_A01,H22.26.434.11.63.01.03,Pass,10051.0
7,H22.06.356.11.51.01.03,2.339961092905841,,,,,2.1.4,11/01/2022,10:28:21,2022-11-01,2022.0,11.0,1.0,10/31/2022,08/22/2022,09/09/2022,No,Human,H22.06.356.11.51.01,H22.06.356.11.51.01.03,Patch Tube,PCS4_221101_153_A01,kamiliamn,3,4.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L4,TCx,L4,,2.0,nucleus_present,no,1000.0,162.1,4.3,No,No,90.0,Not Applicable,Not Applicable,No,42.0,50.0,6.75,9.18,4.88,12:42:39,,12:43:33,12:44:43,12:45:34,12:52:19,13:01:30,13:06:23,13:10:22,CN3596,,,Channel_Recording,None,None,None,None,None,CN3596,same cell as in 1st attempt,,,,,,,Homo Sapiens,hIVSCC-METc,H22.06.356,H22.06.356.11.51.01.03,PCS4_221101_153_A01,positive,MTG,EPhys_221031_02_A03_H,H22.06.435,,162.1,Matching JEM & LIMS Information,L5_IT,Exc L4-5 RORB FOLH1B,Glutamatergic,0.571689676290904,True,PCS4_221101_153_A01,H22.06.356.11.51.01.03,Pass,14156.0
8,H22.26.433.11.52.01.05,3.641111558366983,,,,,2.1.4,10/05/2022,10:01:19,2022-10-05,2022.0,10.0,5.0,10/04/2022,08/22/2022,09/09/2022,No,Human,H22.26.433.11.52.01,H22.26.433.11.52.01.05,Patch Tube,PCS4_221005_155_A01,kamiliamn,4,8.0,Success,,Success,,SUCCESS,Positive,,Cortical,FCx_L5,FCx,L5,,3.0,nucleus_present,no,1300.0,57.6,4.1,No,No,60.0,Not Applicable,Not Applicable,No,62.0,72.0,11.33,5.45,4.85,14:51:31,,14:52:11,14:53:22,14:53:52,15:05:12,15:10:39,15:15:30,15:22:02,CN1633,,,Channel_Recording,None,None,None,None,None,,220822 fill date blank,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.433,H22.26.433.11.52.01.05,PCS4_221005_155_A01,positive,MFG,EPhys_221003_02_B04_H,,,57.6,Matching JEM & LIMS Information,L6_IT,Exc L5-6 THEMIS C1QL3,Glutamatergic,0.8879893401917,True,PCS4_221005_155_A01,H22.26.433.11.52.01.05,Pass,12075.0
9,H22.26.435.11.53.01.07,3.600622609371491,,,,,2.1.4,10/12/2022,09:25:34,2022-10-12,2022.0,10.0,12.0,10/11/2022,08/22/2022,09/09/2022,No,Human,H22.26.435.11.53.01,H22.26.435.11.53.01.07,Patch Tube,PCS4_221012_156_A01,kamiliamn,4,12.0,Success,,Success,,SUCCESS,Positive,,Cortical,TCx_L5,TCx,L5,,2.0,nucleus_present,intentionally-surface,1400.0,53.8,5.1,No,No,40.0,Not Applicable,Not Applicable,No,55.0,111.0,12.62,6.45,2.83,16:04:14,,16:04:56,16:06:02,16:06:22,16:18:59,16:25:26,16:28:16,16:33:49,CN1633,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Homo Sapiens,hIVSCC-METc,H22.26.435,H22.26.435.11.53.01.07,PCS4_221012_156_A01,positive,STG,EPhys_221010_03_C03_H,H22.26.435,,53.8,Matching JEM & LIMS Information,L5_IT,Exc L4-5 RORB FOLH1B,Glutamatergic,0.789572275916814,True,PCS4_221012_156_A01,H22.26.435.11.53.01.07,Pass,10540.0
