patched_cell_container,cell_name,cell_id,KCNMA1,KCNN1,KCNN2,KCNN3,KCNN4,KCNU1,KCNJ1,KCNJ2,KCNJ3,KCNJ4,KCNJ5,KCNJ6,KCNJ8,KCNJ9,KCNJ10,KCNJ11,KCNJ12,KCNJ13,KCNJ14,KCNJ15,KCNJ16,KCNJ18,KCNT1,KCNT2,KCNK1,KCNK2,KCNK3,KCNK4,KCNK5,KCNK6,KCNK7,KCNK9,KCNK10,KCNK12,KCNK13,KCNK15,KCNK16,KCNK17,KCNK18,KCNA1,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNA10,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCND1,KCND2,KCND3,KCNF1,KCNG1,KCNG2,KCNG3,KCNG4,KCNH1,KCNH2,KCNH3,KCNH4,KCNH5,KCNH6,KCNH7,KCNH8,KCNQ1,KCNQ2,KCNQ3,KCNQ4,KCNQ5,KCNS1,KCNS2,KCNS3,KCNV1,KCNV2
P4S4_211215_153_A01,H21.26.409.11.05.01.01,1146477402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74115831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74115831,0,0
P4S4_211215_154_A01,H21.26.409.11.05.01.02,1146491056,9.599043588,6.311678926,7.943131613,0,0,0,0,0,0,0,0,3.433521672,0,0,0,0,0,0,5.644463426,0,4.365161986,0,4.926598666,0,0,0,0,0,0,0,0,0,4.365161986,0,0,0,0,0,0,0,8.619003552,7.005116194,0,0,0,0,0,7.549052942,0,4.926598666,10.42373509,0,0,0,5.644463426,7.111228949,0,0,7.005116194,0,0,5.644463426,0,0,0,0,0,0,0,0,0,6.311678926,0,0,0,0,4.365161986,0,0
PYS4_211215_351_A01,H21.26.409.11.04.01.01,1146475708,8.956242263,0,7.536628012,6.10931438,0,0,0,0,8.093555742,0,0,6.917385285,0,4.914519219,0,0,0,4.353278726,0,0,3.422190514,0,4.565552297,7.165463486,7.72514918,0,0,6.519118103,0,0,0,3.422190514,0,0,4.353278726,0,0,0,0,0,0,0,0,0,0,0,0,7.459057105,5.632222302,0,8.28554046,0,0,2.084028458,9.182248248,7.511231664,0,0,0,5.317547822,0,9.107954873,0,7.028964587,0,0,0,0,0,0,5.430239502,6.175478391,5.317547822,11.40383863,3.803183535,0,0,2.084028458,0
PNS4_211215_854_A01,H21.26.409.11.06.01.02,1146485071,0,0,0,0,0,0,0,0,7.919348559,0,0,6.536683038,0,0,0,0,2.75275584,0,0,0,4.187459099,0,5.147314971,0,2.75275584,0,5.36388023,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75275584,4.187459099,0,0,0,0,0,6.444609228,8.169933484,3.641553859,8.916365706,0,6.003160828,0,9.906267782,9.488852847,0,0,0,0,0,7.884728488,0,0,0,0,0,5.86790483,0,2.75275584,7.116456386,9.393570568,0,9.798804286,0,0,6.925295829,0,0
PNS4_211215_855_A01,H21.26.409.11.06.01.03,1146488999,6.901526428,0,0,0,0,0,0,0,9.653701336,0,0,0,0,0,4.722715619,0,0,0,0,3.243088542,3.243088542,0,0,3.243088542,0,0,4.164816722,0,0,0,0,0,0,6.42091844,0,0,7.613003752,0,0,0,5.695134605,0,0,0,0,0,0,3.243088542,3.243088542,6.681143813,7.000257393,4.722715619,3.243088542,0,9.575798327,7.338919928,0,0,6.42091844,0,0,8.334457399,0,0,0,0,0,10.06068492,0,0,4.164816722,7.613003752,0,10.81756275,0,0,8.967581241,0,0
PNS4_211215_856_A01,H21.26.409.11.06.01.04,1146497131,8.859315689,1.644236192,1.644236192,5.214862864,0,0,0,0,8.784783385,5.700987766,0,8.377767642,0,5.039460787,0,0,0,4.170452755,5.295165307,0,2.392769795,0,6.390721087,2.883126085,5.758771685,0,0,0,0,0,0,6.195308019,5.129825846,0,1.644236192,0,0,0,0,0,0,0,0,0,0,1.644236192,0,6.716515467,4.728458164,2.883126085,10.32037158,0,0,0,9.601632411,8.518226656,0,0,7.603254783,0,0,9.085034,4.170452755,1.644236192,0,0,0,6.957656338,0,2.392769795,5.214862864,6.932768969,2.883126085,8.349838307,0,0,7.555144672,0,0
PKS4_210728_229_A01,SC21.26.024.11.02.03,1151693573,9.42008364,4.30314744,6.247269201,6.940385945,0,5.580547427,0,4.30314744,6.825887274,0,0,8.875083679,0,3.374436651,0,0,0,0,0,3.374436651,0,0,4.863541962,6.940385945,4.30314744,4.863541962,4.30314744,0,0,0,0,0,4.30314744,5.26613678,8.187305788,0,0,0,0,6.415082492,4.30314744,5.26613678,3.374436651,0,0,0,0,6.415082492,4.30314744,3.374436651,8.320135544,0,0,0,9.012307848,3.374436651,0,4.30314744,0,6.565393988,0,8.553923534,0,6.057334646,6.701512001,7.988730033,3.374436651,9.859062519,4.863541962,5.26613678,4.863541962,7.046461865,3.374436651,9.784377379,0,0,4.30314744,5.580547427,0
PGS4_211102_701_A01,H21.28.034.11.04.04,1151275241,9.100608758,0,0,7.911338531,0,4.884627454,0,0,8.010474635,0,0,5.995243229,0,0,0,0,0,0,0,0,3.634156664,0,5.995243229,10.83573361,6.847526187,5.356032737,0,3.634156664,0,0,0,0,2.7459087,7.87671927,0,0,0,0,0,0,2.7459087,0,0,0,0,0,0,4.574857409,6.232767656,2.7459087,7.767579298,0,0,0,4.179858372,8.132874595,0,0,0,0,0,9.187917005,0,0,0,0,0,5.995243229,0,2.7459087,0,8.350333228,0,10.32149871,0,0,2.7459087,0,0
PGS4_211102_702_A01,H21.28.034.11.04.07,1151275429,6.69914029,3.588046868,0,0,0,0,0,6.288723572,7.992035894,7.378383624,0,4.740204007,0,5.608157443,0,0,0,0,0,0,0,0,7.470951001,6.288723572,0,0,2.225036568,0,0,0,0,2.225036568,0,7.742566756,0,0,0,0,0,0,3.972776272,5.988204483,0,0,0,0,0,7.97105761,7.346159197,7.279467162,3.972776272,0,6.219256627,0,7.742566756,3.588046868,0,0,0,0,0,2.225036568,0,7.244928218,2.225036568,0,0,8.936064448,0,0,6.06940347,8.325282031,0,8.787991663,0,0,0,0,0
PGS4_211102_703_A01,H21.28.034.11.04.10,1151275550,8.371725542,2.70132085,5.304795676,0,0,0,0,0,7.46864095,0,0,0,0,2.70132085,0,0,0,0,0,0,3.585917036,0,6.86521849,0,9.017847558,0,0,0,0,0,0,0,0,4.130264816,2.70132085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.995386552,11.12645428,0,0,0,7.9258495,9.244213546,0,0,8.395500881,3.585917036,0,5.304795676,5.088473506,8.872944296,0,0,0,0,0,0,6.722130603,7.423099977,0,4.524557979,0,0,4.130264816,0,0
