,cell,tot_70,fast_70,fast_total,nonfast_70,nonfast_total,jem-version_jem_form,jem-date_patch,jem-time_patch,jem-date_patch_y-m-d,jem-date_patch_y,jem-date_patch_m,jem-date_patch_d,jem-date_acsf,jem-date_blank,jem-date_internal,jem-status_misinformation,jem-id_species,jem-id_slice_specimen,jem-id_cell_specimen,jem-status_patch_tube,jem-id_patched_cell_container,jem-id_rig_user,jem-id_rig_number,jem-status_attempt,jem-cell_attached_status,jem-cell_attached_status_failure,jem-break_in_status,jem-break_in_status_failure,jem-status_success_failure,jem-status_reporter,jem-cell_virus_enhancer,jem-roi_super,jem-roi_major_minor,jem-roi_major,jem-roi_minor,jem-cell_health,jem-health_fill_quality,jem-nucleus_post_patch,jem-nucleus_sucked,jem-res_final_seal,jem-depth,jem-in_bath_resistance,jem-in_bath_clog,jem-cell_attached_dimple,jem-break_in_pressure_max,jem-break_in_zap_max,jem-break_in_zap_use,jem-break_in_reseal,jem-pressure_extraction,jem-pressure_retraction,jem-time_duration_experiment,jem-time_duration_extraction,jem-time_duration_retraction,jem-in_bath_time_start,jem-seal_time_start,jem-cell_attached_time_start,jem-break_in_time_start,jem-break_in_time_end,jem-time_exp_extraction_start,jem-time_exp_extraction_end,jem-time_exp_retraction_end,jem-time_exp_channel_end,jem-virus_enhancer,jem-dic,jem-slice_level_project,jem-project_level_nucleus,jem-project_name,jem-project_icv_injection_fluorescent_roi,jem-project_retrograde_labeling_hemisphere,jem-project_retrograde_labeling_region,jem-project_retrograde_labeling_exp,jem-notes_overall,jem-notes_qc,jem-notes_extraction,jem-notes_failure,jem-time_slice_eval,jem-slice_health,jem-slice_observations,jem-slice_quality_comments,lims-id_species,lims-id_project_code,lims-id_slice_specimen,lims-id_cell_specimen,lims-id_patched_cell_container,lims-cell_reporter,lims-structure,lims-histology_well_name,lims-id_cell_specimen_id,lims-id_slice_genotype,lims-depth,test-jem_lims_specimen_id_congruency,tree_score,tree_subclass,tree_cluster,tree_class,patched_cell_container_label,cell_name_label,percent_cdna_longer_than_400bp_label,rna_amplification_pass_fail_label,amplified_quantity_ng_label,Genes.Detected.CPM_label,marker_sum_norm_label,Norm_Marker_Sum.0.4_label
2,Ctgf-T2A-dgCre;Ai14-509689.04.02.01,2.581076343737179,,,,,2.0.8,02/10/2020,11:26:22,2020-02-10,2020.0,2.0,10.0,02/07/2020,01/03/2020,01/13/2020,No,Mouse,Ctgf-T2A-dgCre;Ai14-509689.04.02,Ctgf-T2A-dgCre;Ai14-509689.04.02.01,Patch Tube,PES4_200210_652_A01,katherineb,3,1.0,,,,,SUCCESS,Positive,,Cortical,VISp_L6b,VISp,L6b,3.0,,nucleus_present,intentionally,2000.0,63.5,4.0,,,,,,,20.0,20.0,10.68,0.68,1.62,11:38:21,,,,11:39:22,11:50:03,11:50:44,11:52:21,11:57:20,None,,,Channel_Recording,None,None,None,None,None,,,#comp,,,,,,Mus musculus,mIVSCC-MET,Ctgf-T2A-dgCre;Ai14-509689,Ctgf-T2A-dgCre;Ai14-509689.04.02.01,PES4_200210_652_A01,positive,VISp6b,EPhys_200210_01_A02_M,509689,Ctgf-T2A-dgCre/wt;Ai14(RCL-tdT)/wt,63.5,Matching JEM & LIMS Information,0.89,L6b,L6b_P2ry12,Glutamatergic,PES4_200210_652_A01,Ctgf-T2A-dgCre;Ai14-509689.04.02.01,0.548,Pass,19.18242006,7982.0,0.4780989895382778,True
3,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533972.04.02.02,5.348770819654532,,,,,2.0.8,07/14/2020,13:12:21,2020-07-14,2020.0,7.0,14.0,07/13/2020,06/15/2020,06/15/2020,No,Mouse,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533972.04.02,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533972.04.02.02,Patch Tube,PES4_200714_654_A01,katherineb,3,2.0,,,,,SUCCESS,Positive,,Cortical,VISp_L6a,VISp,L6a,4.0,,nucleus_present,intentionally,300.0,32.0,4.2,,,,,,,30.0,30.0,8.62,0.72,1.15,13:46:02,,,,13:47:13,13:55:50,13:56:33,13:57:42,14:00:10,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Mus musculus,mIVSCC-MET,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533972,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533972.04.02.02,PES4_200714_654_A01,positive,VISp,EPhys_200709_02_C03_M,533972,Chrna2-Cre_OE25/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt,32.0,Matching JEM & LIMS Information,1.0,Sst,Sst_Crhr2_Efemp1,GABAergic,PES4_200714_654_A01,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533972.04.02.02,0.626,Pass,9.469249589,7610.0,0.8273875821634097,True
7,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768.04.02.02,7.37953292699017,,,,,2.0.8,03/28/2019,13:37:56,2019-03-28,2019.0,3.0,28.0,03/27/2019,03/05/2019,02/08/2019,No,Mouse,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768.04.02,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768.04.02.02,Patch Tube,P8S4_190328_354_A01,lindsayn,3,2.0,,,,,SUCCESS,Positive,,Cortical,VISp_L5,VISp,L5,3.0,,nucleus_present,intentionally,2000.0,60.0,4.5,,,,,,,45.0,45.0,4.35,1.87,4.52,14:09:09,,,,14:10:26,14:14:47,14:16:39,14:21:10,,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Mus musculus,mIVSCC-MET,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768.04.02.02,P8S4_190328_354_A01,positive,VISp6a,EPhys_190325_01_D06_M,451768,Calb2-IRES-Cre/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt,60.0,Matching JEM & LIMS Information,0.6,Sst,Sst_Crh_4930553C11Rik,GABAergic,P8S4_190328_354_A01,Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768.04.02.02,0.586,Pass,15.19331043,8193.0,0.7097424075266363,True
8,Rbp4-Cre_KL100;Ai14-451124.04.02.02,3.131573150472347,,,,,2.0.8,03/26/2019,14:44:17,2019-03-26,2019.0,3.0,26.0,03/25/2019,02/05/2019,02/08/2019,No,Mouse,Rbp4-Cre_KL100;Ai14-451124.04.02,Rbp4-Cre_KL100;Ai14-451124.04.02.02,Patch Tube,P8S4_190326_354_A01,lindsayn,3,4.0,,,,,SUCCESS,Positive,,Cortical,VISp_L5,VISp,L5,3.0,,nucleus_present,intentionally,3000.0,52.0,5.0,,,,,,,45.0,45.0,4.4,2.6,3.35,15:33:14,,,,15:34:16,15:38:40,15:41:16,15:44:37,,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Mus musculus,mIVSCC-MET,Rbp4-Cre_KL100;Ai14-451124,Rbp4-Cre_KL100;Ai14-451124.04.02.02,P8S4_190326_354_A01,positive,VISp5,EPhys_190325_01_C03_M,451124,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,52.3,Matching JEM & LIMS Information,0.92,L5_ET,L5_ET_VISp_Krt80,Glutamatergic,P8S4_190326_354_A01,Rbp4-Cre_KL100;Ai14-451124.04.02.02,0.602,Pass,22.72637126,9401.0,0.9376583919664104,True
10,Rbp4-Cre_KL100;Ai14-485106.05.02.01,6.238850492570005,,,,,2.0.8,09/06/2019,14:00:13,2019-09-06,2019.0,9.0,6.0,09/05/2019,07/30/2019,07/29/2019,No,Mouse,Rbp4-Cre_KL100;Ai14-485106.05.02,Rbp4-Cre_KL100;Ai14-485106.05.02.01,Patch Tube,P8S4_190906_353_A01,lindsayn,5,2.0,,,,,SUCCESS,Positive,,Cortical,VISp_L5,VISp,L5,3.0,,nucleus_present,no,2000.0,48.0,3.9,,,,,,,50.0,50.0,5.27,2.5,1.5,14:12:02,,,,14:13:08,14:18:24,14:20:54,14:22:24,14:27:26,None,,,Channel_Recording,None,None,None,None,None,,,#comp WC 14.46 corr 80,,,,,,Mus musculus,mIVSCC-MET,Rbp4-Cre_KL100;Ai14-485106,Rbp4-Cre_KL100;Ai14-485106.05.02.01,P8S4_190906_353_A01,positive,VISp5,EPhys_190903_01_C02_M,485106,Rbp4-Cre_KL100/wt;Ai14(RCL-tdT)/wt,48.8,Matching JEM & LIMS Information,1.0,L5_IT,L5_IT_VISp_Hsd11b1_Endou,Glutamatergic,P8S4_190906_353_A01,Rbp4-Cre_KL100;Ai14-485106.05.02.01,0.624,Pass,12.88444931,7838.0,0.893019803712201,True
12,Nkx2-1-CreERT2;Ai14-465341.02.02.01,5.92376702287006,,,,,2.0.8,05/20/2019,15:35:29,2019-05-20,2019.0,5.0,20.0,05/17/2019,04/30/2019,03/28/2019,No,Mouse,Nkx2-1-CreERT2;Ai14-465341.02.02,Nkx2-1-CreERT2;Ai14-465341.02.02.01,Patch Tube,P8S4_190520_355_A01,lindsayn,3,1.0,,,,,SUCCESS,Positive,,Cortical,VISp_L2-3,VISp,L2-3,3.0,,nucleus_present,intentionally,1000.0,60.0,4.5,,,,,,,45.0,45.0,7.3,2.53,2.17,15:52:44,,,,15:54:04,16:01:22,16:03:54,16:06:04,16:07:47,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Mus musculus,mIVSCC-MET,Nkx2-1-CreERT2;Ai14-465341,Nkx2-1-CreERT2;Ai14-465341.02.02.01,P8S4_190520_355_A01,positive,VISli2/3,EPhys_190520_01_B01_M,465341,Nkx2-1-CreERT2/wt;Ai14(RCL-tdT)/wt,59.9,Matching JEM & LIMS Information,1.0,Sst,Sst_Tac1_Tacr3,GABAergic,P8S4_190520_355_A01,Nkx2-1-CreERT2;Ai14-465341.02.02.01,0.59,Pass,18.15613705,8883.0,0.941648481199982,True
13,Gad2-IRES-Cre;Ai14-481679.04.02.01,3.72824761503599,,,,,2.0.8,08/19/2019,13:23:07,2019-08-19,2019.0,8.0,19.0,08/16/2019,06/25/2019,07/29/2019,No,Mouse,Gad2-IRES-Cre;Ai14-481679.04.02,Gad2-IRES-Cre;Ai14-481679.04.02.01,Patch Tube,P8S4_190819_352_A01,lindsayn,5,1.0,,,,,SUCCESS,Negative,,Cortical,VISp_L5,VISp,L5,4.0,,nucleus_present,,1000.0,43.0,3.8,,,,,,,47.0,47.0,3.32,1.65,4.95,13:51:54,,,,13:53:09,13:56:28,13:58:07,14:03:04,14:10:21,None,,,Channel_Recording,None,None,None,None,None,,,#comp WC 13.95 corr 80,,,,,,Mus musculus,mIVSCC-MET,Gad2-IRES-Cre;Ai14-481679,Gad2-IRES-Cre;Ai14-481679.04.02.01,P8S4_190819_352_A01,negative,VISp5,EPhys_190819_01_B02_M,481679,Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt,43.2,Matching JEM & LIMS Information,0.98,L5_ET,L5_ET_VISp_Krt80,Glutamatergic,P8S4_190819_352_A01,Gad2-IRES-Cre;Ai14-481679.04.02.01,0.658,Pass,29.17889301,9693.0,1.0150095407349866,True
15,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-553113.03.02.02,126.4883918387403,,,,,2.0.8,11/09/2020,16:28:42,2020-11-09,2020.0,11.0,9.0,11/06/2020,10/20/2020,10/21/2020,No,Mouse,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-553113.03.02,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-553113.03.02.02,Patch Tube,PES4_201109_656_A01,katherineb,4,2.0,,,,,SUCCESS,Positive,,Cortical,VISp_L6a,VISp,L6a,3.0,,nucleus_present,intentionally,4500.0,34.0,4.6,,,,,,,34.0,32.0,3.78,0.87,7.33,17:12:16,,,,17:14:38,17:18:25,17:19:17,17:26:37,17:29:43,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Mus musculus,mIVSCC-MET,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-553113,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-553113.03.02.02,PES4_201109_656_A01,positive,VISp,EPhys_201109_01_C04_M,553113,Sst-IRES-Cre/wt;Th-P2A-FlpO/wt;Ai65(RCFL-tdT)/wt,32.1,Matching JEM & LIMS Information,0.83,Pvalb,Pvalb_Akr1c18_Ntf3,GABAergic,PES4_201109_656_A01,Sst-IRES-Cre;Th-P2A-FlpO;Ai65-553113.03.02.02,0.578,Pass,6.583047943,6602.0,0.6490485982772405,True
17,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533973.05.02.01,3.936198718486783,,,,,2.0.8,07/15/2020,15:09:39,2020-07-15,2020.0,7.0,15.0,07/14/2020,06/15/2020,06/15/2020,No,Mouse,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533973.05.02,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533973.05.02.01,Patch Tube,PES4_200715_654_A01,katherineb,3,1.0,,,,,SUCCESS,Positive,,Cortical,VISp_L5,VISp,L5,5.0,,nucleus_present,intentionally,3000.0,71.2,3.8,,,,,,,20.0,20.0,6.05,1.02,1.17,15:24:06,,,,15:25:13,15:31:16,15:32:17,15:33:27,15:35:48,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Mus musculus,mIVSCC-MET,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533973,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533973.05.02.01,PES4_200715_654_A01,positive,VISp,EPhys_200709_02_D05_M,533973,Chrna2-Cre_OE25/wt;Sst-IRES-FlpO/wt;Ai65(RCFL-tdT)/wt,71.2,Matching JEM & LIMS Information,1.0,Sst,Sst_Tac2_Tacstd2,GABAergic,PES4_200715_654_A01,Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533973.05.02.01,0.472,Pass,17.81217165,8425.0,0.5680056752185197,True
18,Sncg-IRES2-FlpO-neo;Ai65F-499189.06.01.01,11.34708703501731,,,,,2.0.8,12/04/2019,13:22:42,2019-12-04,2019.0,12.0,4.0,12/03/2019,10/17/2019,10/28/2019,No,Mouse,Sncg-IRES2-FlpO-neo;Ai65F-499189.06.01,Sncg-IRES2-FlpO-neo;Ai65F-499189.06.01.01,Patch Tube,PES4_191204_653_A01,katherineb,6,1.0,,,,,SUCCESS,Positive,,Cortical,VISp_L2-3,VISp,L2-3,3.0,,nucleus_present,intentionally,2000.0,52.9,4.2,,,,,,,29.0,35.0,5.97,0.48,2.35,13:33:24,,,,13:34:33,13:40:31,13:41:00,13:43:21,13:46:59,None,,,Channel_Recording,None,None,None,None,None,,,,,,,,,Mus musculus,mIVSCC-MET,Sncg-IRES2-FlpO-neo;Ai65F-499189,Sncg-IRES2-FlpO-neo;Ai65F-499189.06.01.01,PES4_191204_653_A01,positive,VISp2/3,EPhys_191202_01_C05_M,499189,Sncg-IRES2-FlpO-neo/wt;Ai65F/wt,52.9,Matching JEM & LIMS Information,0.77,Sncg,Sncg_Vip_Nptx2,GABAergic,PES4_191204_653_A01,Sncg-IRES2-FlpO-neo;Ai65F-499189.06.01.01,0.595,Pass,16.6744577,9056.0,0.9023479447897528,True
