cell,tot_70,fast_70,fast_total,nonfast_70,nonfast_total,jem-date_patch,jem-id_species,jem-id_patched_cell_container,jem-id_rig_user,jem-roi_super,jem-roi_major,jem-roi_minor,cell_id,rna_amplification_pass_fail,Genes.Detected.CPM,avg.cor,ttype,supertype,subclass,ephys_qc,failed_bad_rs,failed_electrode_0,tau,avg_isi,upstroke_downstroke_ratio_short_square,threshold_v_ramp,peak_v_short_square,upstroke_downstroke_ratio_ramp,sag,trough_t_ramp,slow_trough_v_ramp,vrest,has_pause,trough_v_long_square,input_resistance_mohm,trough_t_short_square,fast_trough_v_ramp,trough_t_long_square,threshold_v_long_square,slow_trough_v_long_square,peak_t_ramp,threshold_t_short_square,slow_trough_t_long_square,input_access_resistance_ratio,fast_trough_t_long_square,ri,threshold_t_long_square,threshold_v_short_square,threshold_t_ramp,vm_for_sag,threshold_i_long_square,threshold_i_short_square,slow_trough_t_ramp,peak_v_ramp,fast_trough_v_short_square,fast_trough_t_short_square,fast_trough_t_ramp,initial_access_resistance_mohm,slow_trough_t_short_square,threshold_i_ramp,slow_trough_v_short_square,peak_t_short_square,trough_v_short_square,f_i_curve_slope,created_at,peak_t_long_square,seal_gohm,trough_v_ramp,latency,fast_trough_v_long_square,upstroke_downstroke_ratio_long_square,,peak_v_long_square,adaptation
Rbp4-Cre_KL100;Ai14-658999.10.09.02,11.263957,,,,,1/11/2023,Mouse,P4S4_230111_156_A01,kamiliamn,Subcortical,HY,STN,1239046050,Pass,8695,0.708024153,2454 STN-PSTN Pitx2 Glut_5,STN-PSTN Pitx2 Glut_5,STN-PSTN Pitx2,auto_passed,FALSE,FALSE,13.19015032,36.32692308,1.240266073,-34.72916794,30.625,1.196060427,0.482051045,2.501993333,,-60.88876775,,-61.78125381,366.971872,0.50578,-61.78125381,0.67656,-35.68750381,,2.500693333,0.50304,,0.039191483,0.67652,187.3438954,0.6755,-39.37500381,2.500353333,-82.9375,21.99999809,330,,30.125,-62.43750381,0.50406,2.501373333,14.382172,,50.08333206,,0.50336,-63.53125,0.566577464,51:17.2,0.67584,5.886760448,-62.05208206,0.02184,-61.62500381,1.213292676,,30.46875,0.012641788
Ctgf-T2A-dgCre;Ai14-509689.04.02.01,2.581076344,,,,,2/10/2020,Mouse,PES4_200210_652_A01,katherineb,Cortical,VISp,L6b,1006163964,Pass,7982,0.689687856,0432 L6b CTX Glut_3,L6b CTX Glut_3,L6b CTX,auto_passed,FALSE,FALSE,32.89222944,75.52166667,4.42086829,-41.81458664,37.41875076,4.623387228,0.09122543,0.86816,-59.70208486,-59.3891931,,-60.53125,521.572224,0.55433,-53.18125534,1.39,-41.95624924,,0.832346667,0.50308,,0.026902389,1.34656,342.0955539,1.34088,-44.20625305,0.831806667,-98.4375,4,160,0.86816,35.28958511,-55.0843811,0.50795,0.837246667,14.031539,,8.333333015,,0.50357,-62.66249847,0.305720654,19:41.5,1.34142,2.303380736,-59.7020874,0.02106,-52.52499771,4.679863958,,34.54375458,0.027534391
Chrna2-Cre_OE25;Sst-IRES-FlpO;Ai65-533972.04.02.02,5.34877082,,,,,7/14/2020,Mouse,PES4_200714_654_A01,katherineb,Cortical,VISp,L6a,1036274046,Pass,7610,0.718547712,0820 Sst Gaba_16,Sst Gaba_16,Sst,auto_passed,FALSE,FALSE,,,,,,,,,,,,,194.135888,,,,,,,,,0.062468594,,,,,,,,,,,,,,12.127396,,,,,,,,,3.667000576,,,,,,,
Htr3a-Cre_NO152;Ai14-599393.10.02.02,6.514857576,,,,,10/21/2021,Mouse,PJS4_211021_804_A01,sarav,Subcortical,TH,MD,1135594653,Pass,5298,0.333761842,0599 OB-STR-CTX Inh IMN_1,OB-STR-CTX Inh IMN_1,OB-STR-CTX Inh,auto_passed,FALSE,FALSE,21.02337393,5.42,2.990401717,-34.66666794,37.13541794,2.917263802,0.10629528,1.199633333,,-70.44576111,,-47.50000381,401.122016,0.5249,-49.3125,0.61318,-37.34375,,1.198353333,0.523273333,,0.032697455,0.61318,170.6473976,0.61136,-35.41666794,1.197886667,-88.00000763,20,370,,36.94791794,-47.65625,0.524876667,1.199586667,13.115669,,17.5,,0.52371,-47.69791794,0.199501247,12:09.9,0.61202,2.744189696,-49.39583206,0.11136,-47.50000381,3.073323048,,37.75000381,0.12629216
Pvalb-IRES-Cre;Ai14-553660.05.06.02,3.058899769,,,,,11/17/2020,Mouse,PES4_201117_656_A01,katherineb,Subcortical,PAL,GPi,1064228044,Pass,7105,0.674554458,0918 GPe-SI Sox6 Cyp26b1 Gaba_1,GPe-SI Sox6 Cyp26b1 Gaba_1,GPe-SI Sox6 Cyp26b1,auto_passed,FALSE,FALSE,26.33692935,31.07967742,1.507106646,-30.08333588,0.46484375,2.09175616,0.145235345,2.21474,-44.51041794,-64.71006047,,-51.56250381,525.189216,0.862494375,-42.38541794,1.253195,-34.34375381,,2.195236667,0.501555625,,0.01901679,1.236135,337.4921381,1.23365,-46.24609375,2.194871667,-101.3750076,26,450,2.21474,18.13541603,-42.33928735,0.504907143,2.196666667,9.987413,,42.45833206,,0.503238125,-51.07421875,0.578357186,29:48.9,1.23403,2.42494592,-44.51041794,0.0308,-45.50000381,2.225831068,,4.21875,0.005071276
Nos1-CreERT2;Sst-IRES-FlpO;Ai65-510005.09.02.01,9.294864142,,,,,2/7/2020,Mouse,PFS4_200207_705_A01,jessicat,Cortical,RSPv,L6a,1005693789,Pass,8280,0.779098182,0859 Sst Chodl Gaba_4,Sst Chodl Gaba_4,Sst Chodl,manual_passed,TRUE,TRUE,,,2.478952036,-30.05937386,31.78749847,1.276495325,,12.47484,,,,,,0.86678,-53.98593903,,,,12.473185,0.5028475,,,,,,-50.11836243,12.47244,,,560,,17.484375,-66.80351257,0.504585,12.47475,,,299.375,,0.50325375,-70.01757813,,36:23.8,,,-54.04999924,,,,,,
Calb2-IRES-Cre;Sst-IRES-FlpO;Ai65-451768.04.02.02,7.379532927,,,,,3/28/2019,Mouse,P8S4_190328_354_A01,lindsayn,Cortical,VISp,L5,842841532,Pass,8193,0.715155213,0784 Sst Gaba_5,Sst Gaba_5,Sst,manual_passed,FALSE,FALSE,19.69504761,33.71785714,1.760975667,-20.92083168,26.44375038,1.44335267,0.091059148,2.64222,,-62.29034975,,-52.41875076,295.338688,0.79166,-50.06875229,0.65384,-27.23749924,,2.64,0.50318,,0.039515642,0.65358,263.7811899,0.65154,-32.03125,2.63948,-94.63124847,40,420,,23.51041603,-54.21249771,0.5052,2.64188,11.670498,,53.54166794,,0.5036,-62.6875,0.475,08:43.2,0.65202,2.217008384,-50.26458359,0.02674,-52.20000076,1.701591202,,29.53125,0.007760902
Rbp4-Cre_KL100;Ai14-451124.04.02.02,3.13157315,,,,,3/26/2019,Mouse,P8S4_190326_354_A01,lindsayn,Cortical,VISp,L5,841866603,Pass,9401,0.808217704,0369 L5 ET CTX Glut_3,L5 ET CTX Glut_3,L5 ET CTX,manual_passed,TRUE,TRUE,,,3.276013963,-37.39166641,36.79375458,3.584396584,,2.043886667,,,,,,0.675,-39.19583384,,,,2.04114,0.50314,,,,,,-39.30000305,2.040593333,,,640,,38.46666718,-45.46250153,0.50562,2.043253333,,,38.58333206,,0.5036,-65.13749695,,56:09.3,,,-39.63958359,,,,,,
Pvalb-IRES-Cre;Ai14-510677.08.02.01,22.86724919,,,,,2/13/2020,Mouse,P8S4_200213_357_A01,lindsayn,Cortical,RSPv,L2-3,1007041348,Pass,9021,0.765224023,0740 Pvalb Gaba_3,Pvalb Gaba_3,Pvalb,manual_passed,TRUE,TRUE,,,1.465491021,-44.5,26.63125038,1.415451918,,7.60308,,,,,,1.0211,-58.84583664,,,,7.602386667,0.50318,,,,,,-49.06042099,7.602066667,,,499.9999695,,27.61874962,-60.01250076,0.504206667,7.60304,,,177.5833282,,0.50348,-73.98332977,,36:56.6,,,-58.92083359,,,,,,
Rbp4-Cre_KL100;Ai14-485106.05.02.01,6.238850493,,,,,9/6/2019,Mouse,P8S4_190906_353_A01,lindsayn,Cortical,VISp,L5,940759275,Pass,7838,0.74967086,0073 L4/5 IT CTX Glut_1,L4/5 IT CTX Glut_1,L4/5 IT CTX,manual_passed,TRUE,TRUE,,,4.435919858,-35.14374924,48.01874924,4.722819326,,3.170126667,-55.4916687,,,,,0.735,-45.93333435,,,,3.120506667,0.5032,,,,,,-43.50000381,3.120033333,,,969.999939,3.170126667,45.34583664,-50.01874924,0.50638,3.125333333,,,65.54166412,,0.50362,-74.19999695,,44:46.1,,,-55.4916687,,,,,,
